P_MASS,P_RADIUS,P_DENSITY,P_GRAVITY,P_ESCAPE,P_TYPE,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_PERIASTRON,P_APASTRON,P_IMPACT_PARAMETER,P_HILL_SPHERE,S_MASS,S_RADIUS,S_LUMINOSITY,S_TEMPERATURE,S_AGE,S_METALLICITY,S_LOG_G,S_TYPE,S_MAG,S_SNOW_LINE,S_TIDAL_LOCK,P_DETECTION,P_DISTANCE
5.085248,11.352612044737734,17.362498931302987,14.479868526695407,3.4881619123197543,4.0,4.215,0.050201,0.12,77.0531858753166,105.0,0.04417688,0.05622512,0.3136938609064506,0.00077572596,0.94,0.96,0.79879197,5577.0,8.96,0.0,4.34,81.0,4.74,2.4131294,0.50503188,7.0,0.050562447
18.116196,9.645698160874153,9.261084811478577,1.716426937963222,0.6250615255692564,2.0,38.021,0.2175,0.14,78.67501336888644,341.0,0.18705,0.24795,0.32219708529330837,0.0050163669,0.94,0.96,0.79879197,5577.0,8.96,0.0,4.34,81.0,4.74,2.4131294,0.50503188,7.0,0.2196315
22.883616,5.952822739100435,76.16120466571306,77.3877591575918,5.368481390569224,2.0,123.01,0.476,0.35,91.96310529532553,314.0,0.3094,0.6426,0.2983501084387067,0.0089695593,0.94,0.96,0.79879197,5577.0,8.96,0.0,4.34,81.0,4.74,2.4131294,0.50503188,7.0,0.505155
781.85689,8.624467266468333,72.18247405708152,87.96906020678303,6.436001997782667,0.0,796.0,1.93,0.22,92.06010420684242,77.0,1.5054,2.3546,0.9151259869379085,0.12065121,1.52,2.3,2.4992607,4792.0,48864.06070744607,0.21,3.25,119.0,3.92,4.2684436,0.53043519,7.0,1.976706
2357.0125,7.29242146653902,75.42488405092205,196.12723387273385,15.017141783771642,0.0,116.688,0.481,0.3988,83.61217785428447,359.83,0.2891772,0.6728228,0.6351758273425143,0.037404833,1.09,1.89,2.9179849,5495.0,228510.9633908336,0.19600123242875012,3.95,75.0,4.97,4.6121699,0.47478096,7.0,0.51924947
953.48401,30.359682711073013,66.86210936703151,69.75831355324169,3.821027493380578,0.0,691.9,2.1,0.117,53.85458022149422,165.0,1.8543,2.3457,0.5289254092257694,0.13469037,2.49,10.5,54.475457,4846.0,32148.86291372299,0.0,2.63,66.0,5.35,19.928023,0.62529398,7.0,2.1143734
416.35468,37.15823990406362,128.6255301447489,160.1846839527981,4.917984984135793,0.0,93.4,0.49,0.06,56.21710317977232,203.55928892819077,0.4606,0.5194,0.8931688329566859,0.030465581,1.44,10.3,52.463248,4847.0,119347.87999339175,0.0,2.57,108.0,6.83,19.55651,0.5209611,7.0,0.490882
1684.4884,24.97948770535333,62.30227914008322,133.68901877448394,11.116028385700485,0.0,952.7,2.5,0.206,68.56542998291995,175.0,1.985,3.015,1.0655666941396182,0.17645392,2.4,11.0,56.833158,4785.0,137284.08250639486,0.0,2.35,77.0,5.65,20.354698,0.61766768,7.0,2.553045
1017.0496,22.495112644421738,90.38623410658022,86.47082551702204,5.636288671611941,0.0,181.4,0.7,0.027,53.040752520304856,177.3,0.6811,0.7189,0.2444210547821809,0.061244551,1.4,11.0,51.342925,4665.0,3.56,0.0,2.52,109.0,4.25,19.346574,0.49451088,7.0,0.70025515
4290.678,14.91346817942765,36.71495053110682,58.98933185660678,22.083802479671093,0.0,2059408.3861469866,260.0,0.0,0.0,0.0,260.0,260.0,260.17798036532156,59.86176991729303,0.3186600593781287,4.930021043536825,20.887425673647535,4778.985825408974,0.03,0.0,4.008926867935404,135.0,9.128,7.7340934734610345,0.31822815279041805,2.0,260.0
2034.0992,87.9964053038413,48.601481898579834,0.0,0.0,0.0,481.9,1.3,0.2,0.0,218.0,1.04,1.56,1.364991348880809,0.12617529,1.14,32.35,263.66522,4095.0,5.2,0.0,1.89,45.0,9.58,43.841983,0.49188134,7.0,1.326
330.54112,3.839770814780407,35.960110430838284,63.282760878151976,8.547865090235153,0.0,268.94,0.78,0.29,78.18813017385756,143.9802649775957,0.5538,1.0062,0.853420600854147,0.048582661,0.49,0.86,0.37090255,4864.0,35246.67016932366,0.17,4.26,135.0,9.63,1.6443478,0.36370546,7.0,0.812799
